PERMNO,date,TICKER,VOL,RET
76568,3/31/2011,SONC,526026,0.006674
76568,4/1/2011,SONC,523991,-0.01547
76568,4/4/2011,SONC,543212,-0.003367
76568,4/5/2011,SONC,488467,0.003378
76568,4/6/2011,SONC,1393355,0.054994
76568,4/7/2011,SONC,942501,0
76568,4/8/2011,SONC,844669,-0.011702
76568,4/11/2011,SONC,753334,-0.035522
76568,4/12/2011,SONC,951177,-0.001116
76568,4/13/2011,SONC,568812,0
76568,4/14/2011,SONC,770781,-0.003352
76568,4/15/2011,SONC,822385,0.012332
76568,4/18/2011,SONC,474056,-0.003322
76568,4/19/2011,SONC,494617,-0.01
